Time [s]	Obiwan Ch.  1(Target)[mbar]	Obiwan Ch.  1(Read)[mbar]	Obiwan Ch.  2(Target)[mbar]	Obiwan Ch.  2(Read)[mbar]	Obiwan Ch.  3(Target)[mbar]	Obiwan Ch.  3(Read)[mbar]	Obiwan Ch.  4(Target)[mbar]	Obiwan Ch.  4(Read)[mbar]	Flowie80(Target) [µl/min]	Flowie80(Read)[µl/min]	
2.1280	0.0000	1.0359	13.1994	13.3459	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0333	
2.1780	0.0000	1.0359	13.1980	13.3459	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0148	
2.2280	0.0000	1.0359	13.1923	13.3459	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0148	
2.2790	0.0000	1.0987	13.1893	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0148	
2.3290	0.0000	1.0987	13.1864	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0259	
2.3790	0.0000	1.0987	13.1860	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0259	
2.4280	0.0000	1.0987	13.1881	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0481	
2.4780	0.0000	1.0359	13.1879	13.2258	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0481	
2.5290	0.0000	1.0359	13.1878	13.2258	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0963	
2.5780	0.0000	1.0987	13.1989	13.2258	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0963	
2.6290	0.0000	1.0359	13.2028	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0963	
2.6790	0.0000	1.0359	13.2067	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0963	
2.7280	0.0000	1.0359	13.2135	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.1111	
2.7780	0.0000	0.9732	13.2149	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0889	
2.8290	0.0000	0.9732	13.2182	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0889	
2.8780	0.0000	1.0987	13.2186	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0741	
2.9290	0.0000	1.0987	13.2205	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0630	
2.9790	0.0000	1.0359	13.2200	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0630	
3.0290	0.0000	1.1615	13.2164	13.3459	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0370	
3.0790	0.0000	1.1615	13.2153	13.3459	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0370	
3.1280	0.0000	1.0987	13.2142	13.3459	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0370	
3.1780	0.0000	1.0987	13.2125	13.2258	0.0000	3.1974	0.0000	-890.9572	-0.0500	-0.0333	
3.2290	0.0000	1.0987	13.2111	13.2258	0.0000	3.1974	0.0000	-890.9572	-0.0500	-0.0333	
3.2790	0.0000	1.0359	13.2082	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0259	
3.3280	0.0000	1.0359	13.2062	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0333	
3.3790	0.0000	1.0359	13.2059	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0333	
3.4290	0.0000	1.0359	13.2058	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0407	
